index,Al,Ba,Si,Formula Unit,Starting_Spacegroup,Relaxed_Spacegroup,Enthalpy Relative to Elements (meV/atom),E_hull (meV/atom),E_above_hull (meV/atom)
aflow:5d998c6e764e5724,0,0.6666666666666666,0.3333333333333333,Ba8Si4,Pnma#62,Pnma#62,-310.537,-310.537,0.0
aflow:09e8e3c8f41716e4,0,0,1.0,Si2,Fd-3m#227,Fd-3m#227,-0.0125,-0.0125,0.0
aflow:687211f8c59d0bf2,0,0.5,0.5,Ba2Si2,Cmcm#63,Cmcm#63,-422.539,-422.539,0.0
aflow:469804f352b157b3,0,0.3333333333333333,0.6666666666666666,Ba8Si16,Pnma#62,Pnma#62,-359.275,-359.275,0.0
aflow:f3df3dd6813ce226,0,0.42857142857142855,0.5714285714285714,Ba12Si16,P4_{2}/mnm#136,P4_{2}/mnm#136,-407.053,-407.053,0.0
aflow:e9afb35cd4c01f76,0,1.0,0,Ba1,Im-3m#229,Im-3m#229,-0.332,-0.332,0.0
aflow:e336a01f326f9058,1.0,0,0,Al1,Fm-3m#225,Fm-3m#225,-1.05,-1.0500000000000356,3.552713678800501e-14
aflow:8b31a94538cabb97,0.4,0.2,0.4,Al8Ba4Si8,Pnma#62,Pnma#62,-296.783,-296.7830000000001,5.684341886080802e-14
aflow:e352fbb9270e9af6,0.6557377049180327,0.3442622950819672,0,Al40Ba21,P31m#157,P31m#157,-236.333,-236.33300000000008,8.526512829121202e-14
aflow:0655bb1b738565e8,0.3333333333333333,0.3333333333333333,0.3333333333333333,Al1Ba1Si1,P-6m2#187,P-6m2#187,-383.685,-383.6850000000001,1.1368683772161603e-13
aflow:170a72e197a907c5,0.8,0.2,0,Al4Ba1,I4/mmm#139,I4/mmm#139,-237.75,-237.7500000000001,1.1368683772161603e-13
aflow:f449ecc06c23ff73,0.2857142857142857,0.42857142857142855,0.2857142857142857,Al2Ba3Si2,Immm#71,Immm#71,-364.478,-364.4780000000002,1.7053025658242404e-13
aflow:296b3c40ad2f4929,0.5882352941176471,0.4117647058823529,0,Al10Ba7,R-3m#166,R-3m#166,-232.379,-232.37900000000025,2.5579538487363607e-13
aflow:ec3a0c121def6dc6,0.5555555555555556,0.4444444444444444,0,Al10Ba8,P6_{3}/mmc#194,P6_{3}/mmc#194,-224.407,-224.40700000000035,3.410605131648481e-13
aflow:59c103473b3d8b55,0.625,0.375,0,Al10Ba6,P6_{3}/mmc#194,P6_{3}/mmc#194,-230.819,-234.53251785714286,3.7135178571428753
aflow:aa3d073de7cb5bde,0,0.625,0.375,Ba20Si12,P4/ncc#130,P4/ncc#130,-331.345,-338.53749999999997,7.192499999999939
aflow:86299c9c837332ae,0.5,0.5,0,Al6Ba6,R-3m#166,P-1#2,-193.6,-201.99950000000004,8.399500000000046
aflow:55109c3ae6eb332f,0.6666666666666666,0.3333333333333333,0,Al4Ba2,C2/m#12,C2/m#12,-225.323,-236.44034848484853,11.11734848484852
aflow:d90148f1e31fcf37,0.65,0.35,0,Al13Ba7,P-3m1#164,P-3m1#164,-215.061,-235.99691,20.935910000000007
aflow:278160161f892ae0,0.25,0.5,0.25,Al1Ba2Si1,R3m#160,R3m#160,-301.102,-324.67503846153846,23.573038461538488
aflow:258460404c9b3bb4,0,0.1935483870967742,0.8064516129032258,Ba24Si100,P4_{1}32#213,P4_{1}32#213,-184.797,-208.61653225806447,23.81953225806447
aflow:66cb7bd138ea245e,0,0.11538461538461539,0.8846153846153846,Ba6Si46,Pm-3n#223,Pm-3n#223,-86.8849,-124.37259615384613,37.48769615384613
aflow:b8f203c29bcbab55,0.8888888888888888,0,0.1111111111111111,Al8Si1,I4/mmm#139,I4/mmm#139,44.6868,-0.9347222222222222,45.62152222222222
aflow:84da92896402da65,0.16666666666666666,0.8333333333333334,0,Al1Ba5,Cm#8,C2/m#12,-17.3483,-67.55450000000002,50.206200000000024
aflow:1326fffb2b8f529c,0,0.14814814814814814,0.8518518518518519,Ba8Si46,Pm-3n#223,Pm-3n#223,-107.992,-159.6847222222222,51.6927222222222
aflow:2e998d05aa99317a,0.3333333333333333,0.6666666666666666,0,Al2Ba4,C2/m#12,C2/m#12,-81.0602,-134.7770000000001,53.716800000000106
aflow:a428b380a6f322b7,0,0.75,0.25,Ba12Si4,Pnma#62,Pnma#62,-176.964,-232.98574999999997,56.02174999999997
aflow:c532ee8689ca48b3,0.8333333333333334,0.16666666666666666,0,Al5Ba1,P6/mmm#191,P6/mmm#191,-134.515,-198.30000000000015,63.78500000000017
aflow:7c0cc6ce07e6e7c1,0,0.25,0.75,Ba2Si6,Cmcm#63,Cmcm#63,-201.943,-269.45937499999997,67.51637499999995
aflow:cd9e345af6c09169,0.8333333333333334,0,0.16666666666666666,Al5Si1,Cmmm#65,Cmmm#65,69.4132,-0.8770833333333334,70.29028333333333
aflow:f45659e0bae441c3,0.25,0.75,0,Al1Ba3,Pmmm#47,P4/mmm#123,-29.4952,-101.16575000000002,71.67055000000002
aflow:3a1aa38ff111ccff,0,0.14285714285714285,0.8571428571428571,Ba2Si12,Cmcm#63,Cmcm#63,-82.0398,-153.98214285714286,71.94234285714286
aflow:655e393bdaa8e7c6,0.75,0.25,0,Al6Ba2,Cmcm#63,Cmcm#63,-164.866,-237.25888068181825,72.39288068181824
aflow:93e1e880ed7b8d86,0.1111111111111111,0.8888888888888888,0,Al1Ba8,I4/mmm#139,I4/mmm#139,34.1631,-45.14700000000006,79.31010000000006
aflow:3235063e0dbf9530,0,0.8333333333333334,0.16666666666666666,Ba5Si1,Cm#8,Cm#8,-76.0278,-155.43449999999996,79.40669999999996
aflow:0cf896116ac36ae9,0.8,0,0.2,Al4Si1,I4/m#87,I4/m#87,82.6718,-0.8425,83.5143
aflow:4098d627b609f1c2,0,0.041666666666666664,0.9583333333333334,Ba2Si46,Pm-3n#223,Pm-3n#223,39.6466,-44.920312499999994,84.5669125
aflow:477b5fcafbe78ae7,0.75,0,0.25,Al6Si2,I4/mmm#139,I4/mmm#139,105.502,-0.7906250000000001,106.292625
aflow:4fcb1740dae3b167,0.6666666666666666,0,0.3333333333333333,Al8Si4,Pnma#62,Pnma#62,114.615,-0.7041666666666666,115.31916666666666
aflow:02bc3e958e02cfbb,0,0.2,0.8,Ba1Si4,I4/mmm#139,I4/mmm#139,-98.973,-215.57000000000002,116.59700000000002
aflow:426351976c427269,0,0.8888888888888888,0.1111111111111111,Ba8Si1,I4/mmm#139,I4/mmm#139,12.9394,-103.7336666666667,116.6730666666667
aflow:5e1761dbb82c1d87,0.25,0.25,0.5,Al1Ba1Si2,C2/m#12,C2/m#12,-197.845,-320.2175,122.37249999999997
aflow:ce2896f6b935957c,0.625,0,0.375,Al10Si6,Cm#8,I4/mcm#140,125.815,-0.6609375,126.4759375
aflow:e72ffa0107731433,0.8275862068965517,0,0.1724137931034483,Al24Si5,I-43m#217,I-43m#217,130.379,-0.8711206896551725,131.25012068965518
aflow:f5c4aa7840b0c331,0.41379310344827586,0.5862068965517241,0,Al12Ba17,I-43m#217,I-43m#217,-32.0899,-167.22924137931045,135.13934137931045
aflow:324f49c070039b84,0.5,0.25,0.25,Al2Ba1Si1,Cm#8,Cm#8,-162.973,-310.9234375,147.95043749999996
aflow:6c8d9d6bd3bf3d36,0.5384615384615384,0.46153846153846156,0,Al7Ba6,R-3m#166,R-3m#166,-65.8638,-217.51238461538466,151.64858461538466
aflow:ab32e791bbb4d960,0,0.375,0.625,Ba6Si10,P6_{3}/mcm#193,P6_{3}/mcm#193,-224.178,-380.177875,155.99987499999997
aflow:d182851410e6e544,0.4,0.6,0,Al2Ba3,P-3m1#164,P-3m1#164,-2.8754,-161.66600000000003,158.7906
aflow:e1b92e763a3ee248,0.125,0.875,0,Al1Ba7,Fm-3m#225,Fm-3m#225,124.955,-50.748875000000034,175.70387500000004
aflow:9afa2c3e39919ce1,0.6,0,0.4,Al6Si4,Fdd2#43,Fdd2#43,177.008,-0.635,177.643
aflow:81f4933d155a3a02,0.5,0,0.5,Al4Si4,Pnma#62,Pnma#62,179.896,-0.53125,180.42725
aflow:aae4359bb635323f,0,0.8,0.2,Ba4Si1,Im-3m#229,Im-3m#229,-3.2854,-186.45499999999996,183.16959999999995
aflow:3285663a4eb18a55,0.2,0.8,0,Al1Ba4,I4/m#87,I4/m#87,114.676,-80.99900000000001,195.675
aflow:e220593fc93fa03a,0.375,0.625,0,Al3Ba5,Cmmm#65,Cmmm#65,44.4644,-151.58262500000004,196.04702500000002
aflow:340b02795f663dd4,0.5862068965517241,0,0.41379310344827586,Al17Si12,I-43m#217,I-43m#217,196.791,-0.6206896551724137,197.4116896551724
aflow:7393f886bcba1546,0.5714285714285714,0,0.42857142857142855,Al4Si3,I4/mmm#139,I4/mmm#139,199.171,-0.6053571428571428,199.77635714285714
aflow:d2dcde687f08d709,0.8888888888888888,0.1111111111111111,0,Al8Ba1,I4/mmm#139,I4/mmm#139,67.2832,-132.55000000000007,199.83320000000006
aflow:4e0a55fd66c47f26,0,0.16666666666666666,0.8333333333333334,Ba1Si5,Cm#8,Cm#8,33.5335,-179.64374999999998,213.17725
aflow:d3b120fb5a2a8841,0,0.6,0.4,Ba6Si4,Fdd2#43,Fdd2#43,-140.611,-355.3378,214.72680000000003
aflow:ffa64984022e01ee,0.4,0,0.6,Al2Si3,P-3m1#164,P-3m1#164,215.73,-0.42750000000000005,216.1575
aflow:ce65f5c9dcfa1d86,0.5555555555555556,0,0.4444444444444444,Al10Si8,P6_{3}/mcm#193,P6_{3}/mcm#193,216.506,-0.5888888888888889,217.0948888888889
aflow:dc8df852f9c78c7d,0.17391304347826086,0,0.8260869565217391,Al8Si38,P1#1,P1#1,229.06,-0.19293478260869565,229.2529347826087
aflow:4b1a82b6349c47e1,0,0.4,0.6,Ba4Si6,Fdd2#43,Fdd2#43,-162.554,-392.7196,230.1656
aflow:a12c9316d79de895,0,0.46153846153846156,0.5384615384615384,Ba6Si7,R-3m#166,R-3m#166,-176.227,-414.20038461538456,237.97338461538456
aflow:203f61959c13c7fd,0.3333333333333333,0,0.6666666666666666,Al4Si8,Pnma#62,Pnma#62,246.374,-0.35833333333333334,246.73233333333332
aflow:9fb597a8f4c9de9c,0.25,0,0.75,Al2Si6,Pmmn#59,Pmmn#59,253.75,-0.27187500000000003,254.021875
aflow:6662cccee35c94ad,0.42857142857142855,0,0.5714285714285714,Al3Si4,I4/mmm#139,I4/mmm#139,253.971,-0.4571428571428797,254.4281428571429
aflow:4f3a72033103fe8e,0.4444444444444444,0.5555555555555556,0,Al8Ba10,P6_{3}/mcm#193,P6_{3}/mcm#193,74.8712,-179.592,254.46320000000003
aflow:ef3800a5e5651c3d,0.5714285714285714,0.42857142857142855,0,Al4Ba3,I4/mmm#139,I4/mmm#139,29.2946,-228.27911428571434,257.57371428571435
aflow:35e368340c99b078,0.4444444444444444,0,0.5555555555555556,Al4Si5,I4/mmm#139,I4/mmm#139,265.654,-0.4736111111111111,266.1276111111111
aflow:e88719ea9594ee91,0.8275862068965517,0.1724137931034483,0,Al24Ba5,I-43m#217,I-43m#217,63.1186,-205.10172413793106,268.2203241379311
aflow:56b5a03bca008c43,0.42857142857142855,0.5714285714285714,0,Al3Ba4,P6/mmm#191,P6/mmm#191,97.6204,-173.18985714285725,270.81025714285727
aflow:93e19fccc46b46d3,0.375,0,0.625,Al3Si5,Cmmm#65,Cmmm#65,291.954,-0.40156250000000004,292.3555625
aflow:a3933409cb6b0508,0.41379310344827586,0,0.5862068965517241,Al12Si17,I-43m#217,I-43m#217,293.328,-0.44181034482758624,293.76981034482753
aflow:84b817c625090593,0,0.5862068965517241,0.41379310344827586,Ba17Si12,I-43m#217,I-43m#217,-25.4322,-364.6069310344827,339.1747310344827
aflow:80f34029b6ae2e74,0.2,0,0.8,Al1Si4,I4/mmm#139,I4/mmm#139,352.649,-0.22000000000000003,352.869
aflow:d620c0aff47689c0,0,0.4444444444444444,0.5555555555555556,Ba4Si5,I4/mmm#139,I4/mmm#139,-48.5168,-410.4943333333334,361.9775333333334
aflow:5006e1465128f8a9,0.875,0.125,0,Al7Ba1,Fm-3m#225,Fm-3m#225,251.659,-148.98750000000013,400.6465000000001
aflow:3c5fff73b1edb97c,0.16666666666666666,0,0.8333333333333334,Al1Si5,P-62m#189,P-62m#189,406.75,-0.18541666666666665,406.93541666666664
aflow:adf106ae345bb664,0.16666666666666666,0.16666666666666666,0.6666666666666666,Al1Ba1Si4,F-43m#216,F-43m#216,212.374,-213.4825,425.8565
aflow:f00cd8e9115735a0,0.1724137931034483,0,0.8275862068965517,Al5Si24,I-43m#217,I-43m#217,430.373,-0.1913793103448276,430.5643793103448
aflow:54d14d9cb44b9a3e,0.6666666666666666,0.16666666666666666,0.16666666666666666,Al4Ba1Si1,F-43m#216,F-43m#216,219.136,-222.89708333333334,442.03308333333337
aflow:6d2e60a68421a4cf,0,0.1111111111111111,0.8888888888888888,Ba1Si8,I4/mmm#139,I4/mmm#139,323.719,-119.76666666666667,443.48566666666665
aflow:642032ebe0a7e734,0.1111111111111111,0,0.8888888888888888,Al1Si8,I4/mmm#139,I4/mmm#139,461.576,-0.12777777777780036,461.7037777777778
aflow:7d369abb360371d9,0,0.5714285714285714,0.42857142857142855,Ba4Si3,P6/mmm#191,P6/mmm#191,135.388,-374.5381428571429,509.92614285714285
aflow:c2971c1ee81b08ed,0.5862068965517241,0.41379310344827586,0,Al17Ba12,I-43m#217,I-43m#217,284.383,-231.88418620689666,516.2671862068967
aflow:a853d06454682696,0.46153846153846156,0.5384615384615384,0,Al6Ba7,R-3m#166,R-3m#166,373.357,-186.48661538461542,559.8436153846154
aflow:0d388ddd86215b03,0.6,0.4,0,Al3Ba2,P-3m1#164,P-3m1#164,400.976,-233.06812571428574,634.0441257142858
aflow:b68beda0d96832dc,0,0.5384615384615384,0.46153846153846156,Ba7Si6,R-3m#166,R-3m#166,287.534,-396.6923846153846,684.2263846153846
aflow:f5a1633bf0f50bd1,0,0.125,0.875,Ba1Si7,Fm-3m#225,Fm-3m#225,699.117,-134.73593749999998,833.8529374999999
aflow:75666b8bb798f357,0.16666666666666666,0.6666666666666666,0.16666666666666666,Al1Ba4Si1,F-43m#216,F-43m#216,667.262,-222.65700000000004,889.919
