PbTe,PbSe,PbS,Temperature (K),Hmix_Var,Volume_per_fu,Hmix (meV/fu),Hmix (meV/fu)_var,Scaled_Entropy (meV/fuK),Free Energy (meV/fu),uncertainty (meV/fu)
0.5,0,0.5,770,156.7764868,62.62514723,72.62151863,122.7627248,0.059540535,26.77530704,1.770742707
0,0.25,0.75,770,4.967116803,55.37273234,12.70420089,4.704055233,0.048452615,-24.60431271,0.315186193
0.166666667,0.416666667,0.416666667,770,117.0996533,59.27824041,43.04604178,102.7995816,0.088370288,-24.99908026,1.53035717
0.25,0.25,0.5,770,172.8324133,59.73128658,55.84153208,147.4955812,0.089257348,-12.88662573,1.859206354
0.166666667,0.833333333,0,770,39.21801967,61.54018232,20.5675373,35.53039556,0.038791574,-9.301974551,0.885641233
0,0.5,0.5,770,12.76149581,56.84884196,16.77996509,12.20433886,0.059712691,-29.1988068,0.505202847
0.166666667,0.166666667,0.666666667,770,134.7864057,57.7278671,52.5037675,125.4647506,0.074525356,-4.88075658,1.641867264
0.25,0,0.75,770,300.7685142,58.28426837,65.94480374,253.7470902,0.048140596,28.87654472,2.452625182
0.833333333,0.083333333,0.083333333,770,27.64548765,68.18550808,29.50193284,25.68209832,0.048749982,-8.035553618,0.743579016
0.166666667,0.666666667,0.166666667,770,51.37731049,60.59924141,30.73350852,49.32510863,0.074669252,-26.76181534,1.01367954
0.083333333,0,0.916666667,770,50.89604384,55.27008012,32.12528583,45.55165349,0.024696501,13.10898008,1.008920649
0.916666667,0,0.083333333,770,8.562447983,69.00017946,24.62908885,8.301958494,0.024712533,5.600438366,0.413822377
0.166666667,0,0.833333333,770,183.2779343,56.64507178,51.6374712,162.3009303,0.038666185,21.86450892,1.914564882
0.833333333,0.166666667,0,770,20.61151678,68.63358996,19.53152646,19.67345294,0.038807368,-10.35014707,0.642051661
0.833333333,0,0.166666667,770,78.13822919,67.67605149,42.67062327,73.46787322,0.038755176,12.8291378,1.250105829
0.583333333,0.416666667,0,770,38.82210072,65.9660803,30.31149771,34.85400133,0.058476797,-14.71563592,0.881159472
0.416666667,0.166666667,0.416666667,770,124.2481992,62.30528391,65.02862763,114.2654802,0.088346088,-2.997860409,1.576376853
0.333333333,0.333333333,0.333333333,770,128.3804201,61.65577714,53.55828227,117.8092923,0.094463134,-19.1783306,1.602375861
0.083333333,0.916666667,0,770,6.387367787,60.6724278,13.1451096,6.164228586,0.024713836,-5.884543822,0.357417621
0.25,0.5,0.25,770,88.4086337,61.16851717,44.49736143,84.50961011,0.089407851,-24.34668407,1.329726541
0.5,0.25,0.25,770,165.028026,64.04911663,54.88965635,148.0289449,0.089260491,-13.84092164,1.816744484
0.333333333,0.083333333,0.583333333,770,164.5181992,60.47998809,68.77513405,140.2575639,0.076219714,10.08595394,1.813936048
0.333333333,0.666666667,0,770,48.37804215,63.29070403,28.73111085,43.93964751,0.054789851,-13.45707469,0.983646706
0.25,0.75,0,770,47.75216886,62.39825118,25.10312572,41.95059535,0.04840661,-12.16996377,0.977263208
0.666666667,0.333333333,0,770,61.50767244,66.83914735,27.23375922,52.88184723,0.054776402,-14.94407021,1.109122829
0.75,0.25,0,770,41.3961986,67.76494718,24.77246801,37.65665087,0.048412376,-12.5050613,0.909903276
0.916666667,0.083333333,0,770,6.357053432,69.52805871,11.70072935,6.096827386,0.024713871,-7.328950947,0.356568463
0.666666667,0.166666667,0.166666667,770,63.81480467,66.07902588,45.0575443,52.53675719,0.074659515,-12.43028199,1.129732753
0.416666667,0.416666667,0.166666667,770,76.98637886,63.38265841,44.80830776,72.62007311,0.088441538,-23.29167622,1.240857598
0.583333333,0.083333333,0.333333333,770,96.11807257,64.82339357,63.57738521,91.29846257,0.076320064,4.810936299,1.3864925
0,0.75,0.25,770,4.467135631,58.31352156,12.31451783,4.306587275,0.048453118,-24.99438335,0.298902514
0.083333333,0.083333333,0.833333333,770,53.90111519,55.74980678,32.90303995,48.55187508,0.048721754,-4.612710457,1.038278529
0.416666667,0.583333333,0,770,65.51194773,64.2258717,32.32581391,61.83978761,0.058438045,-12.67148037,1.144656697
0.75,0,0.25,770,79.88590653,66.62770715,54.16723492,67.8643267,0.04837405,16.91921677,1.264008754
0.5,0.5,0,770,62.74927868,65.13275974,32.77878949,58.07162187,0.059643812,-13.14694603,1.120261386